dj	dj || 0
take a breath	inspire^ || 0.0
take a breather	rest || 0.0
take a chance	adventure || 0.0
take a crap	make || 0.0
take a firm stand	assert,insist,maintain || 0.0
take a hop	bounce,bound,kick,rebound^,skip || 0.0
take a leak	make || 0.0
take a shit	make || 0.0
take a try	chance || 0.0
take aback	galvanise,galvanize,shock || 0.0
take account	appreciate || 0.0
take after	follow || 0.0
take aim	charge,hold,level,place,point,swing,take,target,train,turn || 0.0
take apart	break up || 0.0
take away	bail,bail out,cancel,clear,dig,dislodge,draw,drop,eliminate,erase,eviscerate,free,head,hollow,lift,mark,pick,pull,remove,scale,scoop,shed,stem,string,take,throw,tip,unveil,withdraw || 0.0
take back	return,withdraw || 0.0
take care	look,mind,minister,see,tend || 0.0
take chances	adventure,chance,risk || 0.0
take down	depress,dip,incline,level,lower,note,reduce || 0.0
take exception	appeal,challenge || 0.0
take fire	catch,ignite || 0.0
take flight	break,desert,flee,stampede || 0.0
take for	deem,hold || 0.0
take for granted	assume || 0.0
take heed	hear,incline,listen || 0.0
take hold	trap || 0.0
take hold of	catch,grab,net,stop || 0.0
take in	adopt,assume,bear,catch,clear,collect,draw,earn,eat,feed,fuel,gain,gross,have,hit,make,mop,mop up,pay,profit,raise,realize,receive,see,suck,take,taste,touch,try,use,view,watch,welcome,yield || 0.0
take into account	allow || 0.0
take issue	clash,contradict || 0.0
take leave	quit || 0.0
take observe	note || 0.0
take off	part,start || 0.0
take office	adopt,assume,enter || 0.0
take on	accept,acquire,adopt,assume,face,meet,play,resume,rise,take || 0.0
take out	clear,divert,draw,erase,except,mark,pull,pump,remove,suck,tap,withdraw || 0.0
take over	accept,adopt,assume,bear,borrow,relieve,repeat,resume,spell || 0.0
take part	experience,see,undergo || 0.0
take place	anticipate,arise,break,chance,come,develop,fall,give,go,happen,intervene,occur,operate,pass,proceed,repeat,strike || 0.0
take restrain	hold || 0.0
take root	settle || 0.0
take stock	inventory || 0.0
take take shape	form || 0.0
take the field	campaign || 0.0
take to task	correct || 0.0
take to the woods	flee,run || 0.0
take turns	spell || 0.0
take up	adopt,assume,borrow,dip,draw,fuel,mop,mop up,resume,scoop,start,strike,suck,take || 0.0
talk	babble,babble out,begin,blab,blab out,break,bring out,communicate,continue,deliver,disclose,discover,divulge,expose,falter,flirt,give away,impart,instruct,intercommunicate,learn,lecture,let on,let out,let the cat out of the bag,level,mouth,peach,present,proceed,read,reveal,sing,snap,speak,spill,spill the beans,spout,tattle,teach,tell,tone,unwrap,utter,verbalise,verbalize || -0.232935262696
talk about	discuss || 0.0
talk of	discuss || 0.0
talk over	consider,debate,discuss,initiate,lead,moderate,negotiate || 0.0
talk terms	intermediate,negotiate || 0.0
tally	add,agree,answer,consist,convert,correspond,get,have,hit,kick,look,make,match,meet,par,pattern,shoot,square,suit,sum,support,total,underpin || 0.909282046711
tame	accommodate,adapt,alter,break,change,chasten,cultivate,domesticate,domesticise,domesticize,moderate,modify,naturalise,naturalize,reclaim,subdue,tone down || 0.518798830058
tamp	pack || -0.550671035883
tamp down	pack || 0.0
tamper	fiddle || 0
tan	bronze || 0
tangle	drag,sweep || 0.518798830058
tank	process,store,treat || 0
tantalise	rally,ride || -0.232935262696
tantalize	rally,ride || -0.232935262696
tap	apply,beg,bespeak,bug,call for,cut,dance,draw,draw off,eavesdrop,employ,exploit,furnish,go,knock,listen in,mine,pierce,pink,provide,quest,rap,render,request,solicit,sound,strike,supply,take out,tapdance,tip,trip the light fantastic,trip the light fantastic toe,use,utilise,utilize,walk,wire intercept,withdraw || 0.232935262696
tapdance	tap || 0
tape	attach,cut,enter,put down,record,video record,write || 0
taper	point || 0.329679953964
target	address,aim,direct,place,point,take,take aim,train || 0.329679953964
tarnish	blob,blot,defile,fleck,maculate,spot,stain,sully || -0.329679953964
tarry	linger,lurch || 0
taste	comprehend,consume,experience,have,identify,ingest,know,live,perceive,sample,savor,savour,smack,take,take in,try,try out || 0.329679953964
tattle	talk || -0.329679953964
taunt	rally,ride || -0.232935262696
tauten	firm || 0.698805788088
teach	condition,develop,ground,talk,train || 0
team	aggroup,group,team up || 0.550671035883
team up	team || 0.0
tear	buck,bust,charge,pull,shoot,shred,snap,split || -0.698805788088
tear apart	trash || 0.0
tear down	level || 0.0
tear up	shred || 0.0
tease	beleaguer,card,rally,ride || 0.30309401557
teem	crawl,pour || 0
teeter	move,seesaw,totter || 0
teeter-totter	seesaw || 0
teetertotter	seesaw || 0
telecommunicate	cable,call,e-mail,email,ring,telegraph,wire || 0
telegraph	cable,telecommunicate,wire || 0
telephone	call,ring || 0.329679953964
tell	add,affirm,air,announce,answer,assert,assure,aver,avow,break,call,compel,declare,decouple,differentiate,distinguish,enjoin,evidence,explain,expose,express,give,give tongue to,guess,identify,indicate,infer,inform,introduce,know,label,leave,mention,narrate,note,order,place,point,premise,present,recite,recount,reiterate,relate,remark,repeat,represent,request,respond,reveal,say,secern,secernate,separate,severalise,severalize,sex,signal,state,sum,supply,swan,swear,talk,tell apart,utter,verbalise,verbalize,verify,warn || -0.550671035883
tell apart	decouple,know,label,recognize,sex,tell || 0.0
tell on	shop || 0.0
temper	adjust,alter,anneal,change,chasten,correct,harden,moderate,modify,mollify,normalize,season,set,toughen,weaken || 0.698805788088
tempt	allure,arouse,bid,call,charm,entice,excite,influence,invite,lure,persuade,provoke,sex,shake,shake up,stimulate,stir,turn on,wind up || 0.399051741003
tend	at take care,be,be given,incline,lean,look,mind,run,see,stoke,suffer,take care || -0.550671035883
tender	alter,bid,change,gift,give,modify,offer,outbid,present,proffer,subscribe,tenderise,tenderize || 0.82857073959
tenderise	tender || 0.698805788088
tenderize	tender || 0.698805788088
tense	extend,strain,stretch || -0.550671035883
tense up	extend,strain,stretch || 0.0
term	call,name || 0
terminate	axe,break,break up,can,close,complete,conclude,culminate,disappear,dismiss,drop,end,finish,go,lift,raise,settle,stop || -0.232935262696
test	ascertain,be,check,control,determine,essay,evaluate,examine,find out,float,judge,learn,pass judgment,prove,quiz,score,screen,see,submit,take,try,try out,undergo,watch || 0.909282046711
testify	cite,evidence,manifest,prove,show || 0
thank	acknowledge,convey,give thanks,impart,recognize || 0
theme	furnish,provide,render,supply || 0
theorise	develop,retrace,speculate || 0
theorize	develop,retrace,speculate || 0
thin	cut,dilute,draw,reduce || 0
thin out	crop,cut,dilute,lop,reduce,trim || 0.0
think	alter,anticipate,associate,believe,call back,call up,center,centre,cerebrate,change,cogitate,conceive,conceive of,concentrate,conclude,consider,contemplate,devote,envisage,evaluate,expect,feel,focus,give,guess,hold,ideate,imagine,intend,judge,know,link,mean,modify,opine,pass judgment,pay,plan,pore,propose,reason,recall,reckon,recognize,recollect,reflect,regard,relate,remember,rethink,retrieve,review,rivet,see,speculate,suppose,suspect,view,will,wish || 0.157815718195
think about	consider,deal,mind,take || 0.0
think back	remember,review || 0.0
think of	advert,characterize,cite,concoct,manufacture,mean,mention,mind,name,refer,remember,retain || 0.0
think over	consider,contemplate,question,reflect,speculate,wonder || 0.0
think up	concoct,manufacture || 0.0
thirst	starve || 0.329679953964
thrash	flail,lick,slash,toss || -0.60618803114
thrash about	slash,toss || 0.0
thread	draw,snake,string,wind,wire || 0.329679953964
threaten*	augur,auspicate,be,betoken,bode,endanger,exist,forecast,foreshadow,foretell,imperil,jeopardise,jeopardize,menace,offer,omen,peril,portend,predict,prefigure,presage,prognosticate,warn || 0.0
thresh	flail,slash,toss || -0.399051741003
thresh about	slash,toss || 0.0
thrive	boom,expand,prosper^,revive || 0
throb	pulse || -0.550671035883
throng	pack,pile || 0
throttle	bound,confine,hamper,limit,reduce,rein,restrain,restrict,rule,stiffen,tie || 0
throw	be,beat,bedevil,befuddle,bemuse,bewilder,bump,cast,cast off,communicate,confound,confuse,contrive,cut,deliver,direct,discombobulate,discomfit,discompose,disconcert,dislodge,displace,drive,drop,engage,express,flip,forge,form,fox,fuddle,get,give,give tongue to,ground,have,hold,hurl,hurtle,impel,intercommunicate,jettison,lay,lock,make,mesh,mold,mould,move,operate,pass,place,pop,pose,position,project,propel,put,release,remove,send,set,shake off,shape,shed,shoot,shy,skip,skitter,stick,switch,take,take away,throw away,throw off,thrust,toss,turn,untune,upset,utter,verbalise,verbalize,withdraw,work || -0.10807514195
throw away	abandon,drop,dump,jettison,scrap,shed,throw,toss,trash,waste || 0.0
throw in	inject,quit || 0.0
throw in the towel	quit || 0.0
throw off	drop,shake,shed,throw || 0.0
throw out	abandon,advance,ban,banish,bounce,bump,deliver,dislodge,dismiss,displace,dump,jettison,scrap,shun,suspend,toss,trash,waste || 0.0
throw overboard	forgo || 0.0
throw together	scramble,tumble || 0.0
thrum	beat || -0.550671035883
thrust	boost,compel,dig,drive,force,hurl,hurtle,jut,jut out,lay,lunge,move,obligate,oblige,peg,penetrate,perforate,pierce,place,pop,pose,position,pound,project,protrude,punch,push,push up,put,set,shove,spike,squeeze,stick,stick out,sting,stuff,throw || 0.172932943353
thump	beat,flutter,pound,pulse || -0.550671035883
thunder	boom || -0.550671035883
thwart	baffle,bilk,cross,dash,disappoint,foil,forbid,foreclose,forestall,frustrate,preclude,prevent,queer,ruin*,scotch,short-circuit,spoil || -0.399051741003
tick	beat,check,check off,click,go,mark,mark off,resew,run up,sew together,sound,stitch,tick off,ticktack,ticktock,verify || -0.550671035883
tick off	mark,tick || 0.0
ticket	fine || 0.550671035883
ticktack	beat,tick || -0.550671035883
ticktock	beat,tick || -0.550671035883
tide	surge^ || 0
tidy	make || 0.550671035883
tidy up	make || 0.0
tie	attach,band,befriend^,bind,bond,bound,confine,connect,draw,equal,equalise,equalize,equate,fashion,fasten,fix,forge,form,ground,join,limit,link,link up,marry,match,officiate,relate,restrain,restrict,secure,shape,splice,throttle,trammel,wed || 0.232935262696
tie down	bind || 0.0
tie in	associate,link,mean,relate,remember || 0.0
tie up	bind || 0.0
tighten	contract,firm,narrow,press,reduce,squeeze,stiffen,strain,wind || 0.329679953964
tighten up	stiffen || 0.0
till	plow,turn || 0
tilt	cant,heel,incline,list,shift,slope,tip,weather,wobble || 0
time	adjust,clock,correct,determine,influence,measure,mold,quantify,regulate,schedule,set,shape || 0.550671035883
tin	can,keep,plate,preserve,put up || 0.329679953964
tinct	touch || 0
tinge	touch || 0
tinker	fiddle || -0.550671035883
tint	touch || 0
tip	advise,angle,bank,bend,bung,counsel,fee,flex,force,gift,give,heel,incline,lean,list,mark,present,push,rede,remove,reorient,slant,slope,strike,take,take away,tap,tilt,tip off,tippytoe,tiptoe,topple,tumble,walk,weather,withdraw || -0.329679953964
tip off	tip || 0.0
tippytoe	tip || 0
tiptoe	tip || 0
tire	beat,sap,wear,withdraw || -0.172932943353
tire out	beat,wear || 0.0
tissue	net || 0
tittup	swagger || 0.550671035883
toast	give,pledge || 0
tog	cover || 0
toil	dig,grind,travail || -0.329679953964
tolerate	accept,allow,bear,digest,endure,pay,stand,submit,suffer,support,take,undergo || 0.402509973161
toll	impose,knell,levy,ring || 0
tone	chant,color,color in,colorise,colorize,colour,colour in,colourise,colourize,discolor,discolour,exercise,inflect,intalk,modulate,mouth,speak,strengthen,talk,tone up,utter,verbalise,verbalize,work out || 0.232935262696
tone down	damp,dampen,dull,moderate,mute,tame || 0.0
tone up	strengthen,tone || 0.0
top	arrive at,attain,clear,climax,clip,complete,crop,crown,culminate,cut back,dress,exceed,excel,finish,furnish,gain,go past,hit,lead,lie,lop,make,overhaul,overstep,overtake,pass,pinch,provide,prune,reach,render,snip,stand out,supply,surpass^,tail,top off,transcend,trim || 0
top off	top || 0.0
tope	drink,habituate,use || -0.550671035883
topple	tip,tumble || -0.329679953964
torment	beleaguer,frustrate || 0
torpedo	assail,attack || 0
toss	abandon,agitate,cast aside,cast away,cast out,chuck,chuck out,commove,convulse,discard,dispose,disturb,dump,fling,flip,get rid of,jactitate,jettison,lag,pitch,put away,raise up,remove,scrap,shake,shake up,sky,slash,stir up,thrash,thrash about,thresh,thresh about,throw,throw away,throw out,toss away,toss out,trash,tumble,turn,vex,waste || 0.698805788088
toss away	abandon,dump,jettison,scrap,toss,trash,waste || 0.0
toss off	down,pop || 0.0
toss out	abandon,dump,jettison,scrap,toss,trash,waste || 0.0
tot	add,sum,total || 0.798103482005
tot up	add,sum,total || 0.0
total	add,add together,add up,amount,average,be,come,count,damage,enumerate,make,number,numerate,sum,sum up,summate,tally,tot,tot up,tote up || 0.172932943353
tote	tug || 0
tote up	add,sum,total || 0.0
totter	seesaw,teeter || -0.550671035883
touch	adjoin,advert,affect,allude,alter,be,bear on,bear upon,bother,butt,care,center,change,cling,color,color in,colorise,colorize,colour,colour in,colourise,colourize,come to,compete,comprehend,concern,consume,contact,contend,cover,deal,disturb,edge,equal,expose,extend to,feel,get,handle,have,hint,hit,hold,hug,impact,impress,influence,ingest,interest,involve,manage,march,match,meet,modify,move,partake,perceive,pertain,press,process,reach,receive,refer,regard,relate,rival,stick,stimulate,stir,strike,subject,suggest,surround,take,take in,tinct,tinge,tint,touch on,treat,trouble,understand,vie,work || 0.550671035883
touch off	spark,trigger || 0.0
touch on	affect,bother,bushel,center,concern,expose,fiddle,fix,heel,hit,hold,impact,influence,interest,involve,point,process,refer,regard,relate,restore^,stimulate,strike,subject,touch,treat,trouble,work || 0.0
toughen	season,temper || 0
tour	see,visit || 0.329679953964
tout	amplify,blow,bluster,boast,brag,exaggerate,gas,gasconade,hyerbolise,hyperbolize,judge,label,magnify,overdraw,overstate,pronounce,shoot a line,swash,vaunt || 0.329679953964
tow	tug || 0
tower	loom || 0
toy	fiddle,flirt,play || 0.329679953964
trace	describe,draw,follow,line,retrace,write || 0.399051741003
track	bring in,chase,chase after,course,cover,create,cross,cut across,cut through,dog,drive,follow,get across,get over,give chase,go across,go after,go through,introduce,make,observe,pass,pass over,pursue,tag,tail,take,trail,traverse || -0.798103482005
track down	course,drive,jack,run,seal || 0.0
trade	change,close,deal,exchange,export,import,interchange,market,merchandise,push,run,sell,swap,switch,swop,trade in,transact || 0.232935262696
trade in	trade || 0.0
trail	chase,dog,drag,tail,track,train || -0.798103482005
train	aim,charge,check,civilise,civilize,coach,condition,contain,control,cultivate,curb,develop,direct,discipline,down,drag,educate,exercise,fine-tune,groom,hold,hold in,instruct,learn,level,make grow,moderate,place,point,polish,position,prepare,rail,read,refine,ride,school,study,swing,take,take aim,target,teach,trail,turn,work out || 0.172932943353
trammel	bound,confine,hamper,limit,reduce,rein,restrain,restrict,rule,stiffen,tie,trap || 0
tramp	drift,pad,range,roll || -0.329679953964
trample	tread || -0.698805788088
trance	catch,hold,work || 0
tranquilize	calm,compose,quiet,reassure,still || 0.284657753224
